start_date,shutdown_status,end_date,country,sub_region,geo_scope,shutdown_type_new,affected_network,full or service-based,ordered_by,actual_cause,official_just,duration_affected_days,access_now_ID
18-Jun-2019,Ended,18-Jun-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information Control,Unknown,1,137
15-May-2019,Ended,15-May-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information Control,Unknown,1,100
06-May-2019,Ended,06-May-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information Control,Unknown,1,92
02-May-2019,Ended,03-May-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information Control,Unknown,2,88
30-Apr-2019,Ended,30-Apr-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information Control,Unknown,1,86
27-Apr-2019,Ended,27-Apr-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information Control,Unknown,1,83
03-Mar-2019,Ended,03-Mar-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information Control,Unknown,1,46
28-Feb-2019,Ended,28-Feb-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information Control,Unknown,1,42
26-Jan-2019,Ended,26-Jan-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Information Control,Unknown,1,22
22-May-2019,Ended,22-May-2019,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,Law enforcement,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,108
11-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,Law enforcement,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,129
28-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,Law enforcement,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,150
03-Aug-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,Law enforcement,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,168
07-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,121
27-Jul-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,164
09-Nov-2019,Ended,09-Nov-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile","Service-based, Full network",Law enforcement,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,196
21-Jan-2019,Unknown,,India,Southern Asia,Level 2,Shutdown,Mobile,Full network,State government,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,15
07-Apr-2019,Ended,15-Apr-2019,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,9,67
10-Feb-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,28
07-Mar-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,48
10-Mar-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,49
03-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,118
12-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,131
17-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,136
18-Mar-2019,Unknown,,India,Southern Asia,Unknown,Shutdown,Mobile,Full network,State government,Other,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,53
22-Jun-2019,Ended,05-Jul-2019,Ethiopia,Eastern Africa,Level 3,Shutdown,"Broadband, Mobile",Full network,Executive government,Other,National Security / Counter-Terrorism,14,143
17-Jul-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Other,Unknown,1,160
18-Feb-2019,Ended,19-Feb-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Other,Unknown,2,36
19-Jul-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Other,Unknown,1,162
23-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,Law enforcement,Other,Other,1,147
30-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,Law enforcement,Other,Other,1,151
29-May-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Other,Other,1,113
12-May-2019,Ended,12-May-2019,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Other,1,96
03-Jan-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Other,1,8
05-Jan-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Other,1,9
22-Jan-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Other,1,17
23-Jan-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Other,1,18
12-Feb-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Other,1,32
05-Mar-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Other,1,47
06-Apr-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Other,1,66
30-May-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Other,1,114
31-May-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Other,1,116
05-Jul-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Other,Other,1,155
14-Feb-2019,Ended,15-Feb-2019,India,Southern Asia,Level 2,"Shutdown, Throttle",Mobile,Full network,State government,Other,Other,2,34
09-Apr-2019,Unknown,,India,Southern Asia,Level 2,Shutdown,"Broadband, Mobile",Full network,State government,Other,Other,1,69
10-May-2019,Ended,11-May-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Other,Other,2,94
03-May-2019,Ended,07-May-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Other,Other,5,89
03-Apr-2019,Ended,04-Apr-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Other,Other,2,64
