start_date,shutdown_status,end_date,country,sub_region,geo_scope,shutdown_type_new,affected_network,full or service-based,ordered_by,actual_cause,official_just,duration_affected_days,access_now_ID
01-Mar-2019,Ended,01-Mar-2019,Algeria,Northern Africa,Level 3,"Shutdown, Throttle","Broadband, Mobile",Full network,Executive government,Protest,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,43
02-Aug-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,Law enforcement,Protest,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,167
22-Dec-2019,Ended,24-Dec-2019,India,Southern Asia,Level 2,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Fake News / Hate Speech / Incendiary Content or Promoting Violence,3,211
19-Dec-2019,Ended,21-Dec-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Fake News / Hate Speech / Incendiary Content or Promoting Violence,3,209
18-Jul-2019,Ended,20-Jul-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Fake News / Hate Speech / Incendiary Content or Promoting Violence,3,161
02-Jul-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,153
16-Jul-2019,Ended,17-Jul-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Protest,Fake News / Hate Speech / Incendiary Content or Promoting Violence,2,159
23-Feb-2019,Ended,01-Mar-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Protest,Fake News / Hate Speech / Incendiary Content or Promoting Violence,7,40
12-May-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Protest,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,97
10-Sep-2019,Unknown,,Bangladesh,Southern Asia,Level 1,Shutdown,Mobile,Full network,Executive government,Protest,National Security / Counter-Terrorism,1,180
07-Sep-2019,Ended,07-Sep-2019,Pakistan,Southern Asia,Level 1,Shutdown,Mobile,Full network,Executive government,Protest,National Security / Counter-Terrorism,1,178
02-Sep-2019,Ended,09-Sep-2019,Bangladesh,Southern Asia,Level 1,Throttle,Mobile,Full network,Executive government,Protest,National Security / Counter-Terrorism,8,177
07-Apr-2019,Ended,08-Apr-2019,Sudan,Northern Africa,Level 1,Shutdown,"Broadband, Mobile",Service-based,Executive government,Protest,National Security / Counter-Terrorism,2,68
16-Nov-2019,Ended,24-Nov-2019,Iran (Islamic Republic of),Southern Asia,Level 3,Shutdown,"Broadband, Mobile",Full network,Executive government,Protest,National Security / Counter-Terrorism,9,199
16-Nov-2019,Ended,23-Nov-2019,Iran (Islamic Republic of),Southern Asia,Level 3,Shutdown,"Broadband, Mobile",Full network,Executive government,Protest,National Security / Counter-Terrorism,8,198
03-Jun-2019,Ended,09-Jul-2019,Sudan,Northern Africa,Level 3,Shutdown,"Broadband, Mobile",Full network,Executive government,Protest,National Security / Counter-Terrorism,37,119
15-Jan-2019,Ended,24-Jan-2019,Zimbabwe,Eastern Africa,Level 3,"Shutdown, Throttle","Broadband, Mobile","Service-based, Full network",Executive government,Protest,National Security / Counter-Terrorism,10,14
28-Mar-2018,Ended,13-Jul-2019,Chad,Middle Africa,Level 3,Shutdown,"Broadband, Mobile",Service-based,Executive government,Protest,National Security / Counter-Terrorism,473,1
15-Jun-2019,Ended,25-Jun-2019,Eritrea,Eastern Africa,Level 3,Shutdown,Broadband,Service-based,Executive government,Protest,Unknown,11,134
22-Sep-2019,Ended,23-Sep-2019,Egypt,Northern Africa,Level 3,Shutdown,"Broadband, Mobile",Service-based,Executive government,Protest,Unknown,2,182
20-Dec-2018,Ended,10-Jan-2019,Jordan,Western Asia,Level 3,Throttle,"Broadband, Mobile",Service-based,Executive government,Protest,Unknown,22,3
30-Jul-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Protest,Unknown,1,166
08-Aug-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Protest,Unknown,1,171
12-Feb-2019,Ended,13-Feb-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Local government,Protest,Other,2,31
16-May-2019,Ended,24-May-2019,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Protest,Other,9,102
01-Apr-2019,Ended,02-Apr-2019,India,Southern Asia,Level 2,Shutdown,"Broadband, Mobile",Full network,State government,Protest,Other,2,63
22-Aug-2019,Ended,05-Sep-2019,Indonesia,South-Eastern Asia,Level 2,Shutdown,Mobile,Full network,Executive government,Protest,Public Safety / Quell Unrest / Restore Public Order,15,174
25-Sep-2019,Ended,28-Sep-2019,Indonesia,South-Eastern Asia,Level 1,Shutdown,Mobile,Full network,Executive government,Protest,Public Safety / Quell Unrest / Restore Public Order,4,183
07-Jun-2019,Ended,08-Jun-2019,Liberia,Western Africa,Level 3,Shutdown,"Broadband, Mobile","Service-based, Full network",Executive government,Protest,Public Safety / Quell Unrest / Restore Public Order,2,122
21-Dec-2018,Ended,26-Feb-2019,Sudan,Northern Africa,Level 3,Shutdown,"Broadband, Mobile",Service-based,Executive government,Protest,Public Safety / Quell Unrest / Restore Public Order,68,4
20-Dec-2019,Ended,21-Dec-2019,India,Southern Asia,Level 2,Shutdown,Mobile,Full network,Law enforcement,Protest,Public Safety / Quell Unrest / Restore Public Order,2,210
27-Dec-2019,Ended,28-Dec-2019,India,Southern Asia,Level 2,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Public Safety / Quell Unrest / Restore Public Order,2,213
18-Dec-2019,Ended,18-Dec-2019,India,Southern Asia,Level 2,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Public Safety / Quell Unrest / Restore Public Order,1,208
15-Dec-2019,Ended,15-Dec-2019,India,Southern Asia,Level 2,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Public Safety / Quell Unrest / Restore Public Order,1,207
12-Dec-2019,Ended,13-Dec-2019,India,Southern Asia,Level 2,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Public Safety / Quell Unrest / Restore Public Order,2,205
10-Dec-2019,Ended,11-Dec-2019,India,Southern Asia,Level 2,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Public Safety / Quell Unrest / Restore Public Order,2,202
10-Dec-2019,Ended,11-Dec-2019,India,Southern Asia,Level 2,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Public Safety / Quell Unrest / Restore Public Order,2,203
11-Dec-2019,Ended,11-Dec-2019,India,Southern Asia,Level 2,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Public Safety / Quell Unrest / Restore Public Order,1,204
13-Dec-2019,Ended,13-Dec-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Protest,Public Safety / Quell Unrest / Restore Public Order,1,206
22-Dec-2019,Ended,22-Dec-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile","Service-based, Full network",Law enforcement,Protest,Public Safety / Quell Unrest / Restore Public Order,1,212
18-May-2019,Ended,18-May-2019,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Level 1,Shutdown,Unknown,Service-based,Law enforcement,Protest,Public Safety / Quell Unrest / Restore Public Order,1,105
12-Feb-2019,Ended,17-Feb-2019,India,Southern Asia,Level 2,Shutdown,Mobile,Full network,Local government,Protest,Public Safety / Quell Unrest / Restore Public Order,6,29
05-Jul-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Protest,Public Safety / Quell Unrest / Restore Public Order,1,154
26-Mar-2019,Ended,01-Apr-2019,Russian Federation,Eastern Europe,Level 1,Shutdown,"Broadband, Mobile",Full network,Executive government,Protest,Technical Problems / Infrastructure Failure,7,59
09-May-2019,Ended,19-May-2019,Kazakhstan,Central Asia,Level 3,Shutdown,"Broadband, Mobile",Service-based,Executive government,Protest,Technical Problems / Infrastructure Failure,11,93
12-Oct-2019,Ended,12-Oct-2019,Ecuador,South America,Level 3,Shutdown,Mobile,Full network,Executive government,Protest,Unknown,1,189
25-Oct-2019,Ended,26-Oct-2019,Iraq,Western Asia,Level 3,Shutdown,"Broadband, Mobile","Service-based, Full network",Executive government,Protest,Unknown,2,193
01-May-2019,Ended,02-May-2019,Benin,Western Africa,Level 3,"Shutdown, Throttle","Broadband, Mobile","Service-based, Full network",Executive government,Protest,Unknown,2,87
07-Oct-2019,Ended,07-Oct-2019,Ecuador,South America,Level 3,Throttle,"Broadband, Mobile",Service-based,Executive government,Protest,Unknown,1,186
03-Aug-2019,Ended,03-Aug-2019,Russian Federation,Eastern Europe,Level 1,Shutdown,Mobile,Full network,Law enforcement,Protest,Unknown,1,170
04-Nov-2019,Ended,11-Nov-2019,Iraq,Western Asia,Level 3,Shutdown,"Broadband, Mobile",Full network,Unknown,Protest,Unknown,8,194
16-Mar-2019,Unknown,,Russian Federation,Eastern Europe,Level 1,Shutdown,"Broadband, Mobile",Full network,Executive government,Protest,Unknown,1,52
22-Feb-2019,Ended,23-Feb-2019,Algeria,Northern Africa,Level 3,Shutdown,"Broadband, Mobile",Full network,Executive government,Protest,Unknown,2,38
21-Feb-2019,Ended,21-Feb-2019,Algeria,Northern Africa,Level 3,Shutdown,"Broadband, Mobile",Service-based,Executive government,Protest,Unknown,1,37
15-Aug-2019,Ended,15-Aug-2019,Pakistan,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Unknown,Protest,Unknown,1,173
14-Sep-2019,Ended,15-Sep-2019,Algeria,Northern Africa,Level 3,Shutdown,"Broadband, Mobile",Full network,Unknown,Protest,Unknown,2,181
16-Nov-2019,Ended,16-Nov-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Protest,Unknown,1,200
21-Jan-2019,Ended,21-Jan-2019,Venezuela (Bolivarian Republic of),South America,Level 3,Shutdown,"Broadband, Mobile",Service-based,Unknown,Protest,Unknown,1,16
22-Oct-2019,Ended,23-Oct-2019,Pakistan,Southern Asia,Level 2,Shutdown,Mobile,Full network,Executive government,Protest,Unknown,2,192
19-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Religious holiday/anniversary,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,138
05-Jun-2019,Ended,07-Jun-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Religious holiday/anniversary,Fake News / Hate Speech / Incendiary Content or Promoting Violence,3,120
08-Sep-2019,Ended,10-Sep-2019,Pakistan,Southern Asia,Level 3,Shutdown,Mobile,Full network,Executive government,Religious holiday/anniversary,National Security / Counter-Terrorism,3,179
23-Mar-2019,Ended,23-Mar-2019,Pakistan,Southern Asia,Level 2,Shutdown,Mobile,Full network,Executive government,Religious holiday/anniversary,National Security / Counter-Terrorism,1,58
20-May-2019,Ended,31-May-2019,China,Eastern Asia,Level 2,Throttle,"Broadband, Mobile","Service-based, Full network",Unknown,Religious holiday/anniversary,Unknown,12,106
